track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,streams,in_apple_playlists,in_deezer_playlists,bpm,key,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
Hits Different,Taylor Swift,1,2023,5,26,547,68616963,15,6,106,F,67,24,78,15,0,30,4
Chanel,"Becky G, Peso Pluma",2,2023,3,30,681,161460990,15,21,132,D,85,53,68,40,0,9,4
Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),"Metro Boomin, Coi Leray",2,2023,6,2,332,70106975,18,5,120,A,78,5,30,21,0,13,5
Area Codes,"Kaliii, Kaliii",2,2023,3,17,1197,113509496,44,25,155,C#,82,51,39,2,0,9,49
Obsessed,"Abhijay Sharma, Riar Saab",2,2022,9,29,161,71007139,10,2,135,F,80,85,74,62,0,8,9
FLOWER,JISOO,1,2023,3,31,839,232896922,20,20,124,A,84,64,39,3,0,11,4
"All The Way Live (Spider-Man: Across the Spider-Verse) (Metro Boomin & Future, Lil Uzi Vert)","Future, Lil Uzi Vert, Metro Boomin",3,2023,6,2,259,37126685,5,5,135,A,77,28,55,18,0,22,15
Escapism.,"RAYE, 070 Shake",2,2022,10,12,5129,532336353,116,114,96,D,54,25,74,14,0,9,11
La Jumpa,"Arcangel, Bad Bunny",2,2022,11,30,3794,538115192,47,53,123,G#,71,58,70,30,0,32,19
Karma (feat. Ice Spice),"Taylor Swift, Ice Spice",2,2023,5,26,588,46142772,23,31,90,G#,62,7,62,6,0,58,6
Superhero (Heroes & Villains) [with Future & Chris Brown],"Future, Chris Brown, Metro Boomin",3,2022,12,2,2959,401036314,41,38,117,F,72,45,59,14,0,20,21
Las Morras,"BLESSD, Peso Pluma",2,2023,4,4,291,127026613,8,4,133,A,78,90,84,31,0,7,4
CHORRITO PA LAS ANIMAS,Feid,1,2022,12,2,2321,345031710,29,34,96,G#,74,61,83,11,0,35,6
Ch y la Pizza,"Fuerza Regida, Natanael Cano",2,2022,12,1,536,288101651,10,8,149,G#,66,85,60,40,0,14,13
Snow On The Beach (feat. More Lana Del Rey),"Lana Del Rey, Taylor Swift",2,2023,5,26,359,60350538,1,9,110,F#,66,32,40,81,0,11,3
Players,Coi Leray,1,2022,11,30,4096,335074782,118,143,105,F#,95,62,52,3,0,5,16
Bite Me,ENHYPEN,1,2023,5,22,349,76767396,8,5,105,C#,80,69,78,28,0,11,14
Stand By Me (feat. Morgan Wallen),"Lil Durk, Morgan Wallen",2,2023,5,26,381,46065667,23,6,134,B,76,61,58,6,0,16,3
